Event Name,Date,Player1,Player2,Player1 UTR,Player2 UTR,Score
"Dual Match: University of California, Los Angeles vs University of Illinois at Urbana-Champaign",2025-03-20,Mathis DEBRU,Gianluca Ballotta,12.0,12.0,"6-4, 6-4"
"Dual Match: University of California, Los Angeles vs University of Illinois at Urbana-Champaign",2025-03-20,Aadarsh Tripathi,Zachary Viiala,12.91,12.0,"6-4, 6-0"
"Dual Match: University of California, Los Angeles vs University of Illinois at Urbana-Champaign",2025-03-20,Kenta Miyoshi,Rudy Quan,13.97,13.59,"7-6(5), 5-1"
"Dual Match: Purdue University vs University of California, Los Angeles",2025-03-08,Kaylan Bigun,Juan David Velasquez,13.24,12.0,"6-0, 6-2"
"Dual Match: Purdue University vs University of California, Los Angeles",2025-03-08,Alexander Hoogmartens,Stefan Simeunovic Oakville,13.0,12.0,"7-5, 6-1"
"Dual Match: Purdue University vs University of California, Los Angeles",2025-03-08,Gianluca Ballotta,Maj Premzl,12.0,12.0,"6-2, 7-6(4)"
"Dual Match: Purdue University vs University of California, Los Angeles",2025-03-08,Emon Van Loben Sels,henrik villanger,13.59,12.0,"6-2, 6-1"
"Dual Match: Purdue University vs University of California, Los Angeles",2025-03-08,Rudy Quan,Aleksa KRIVOKAPIC,13.59,12.0,"4-6, 6-3, 1-0(3)"
"Dual Match: Purdue University vs University of California, Los Angeles",2025-03-08,Giacomo Revelli,Nour Fathalla,12.0,12.0,"6-3, 6-1"
"Dual Match: Indiana University vs University of California, Los Angeles",2025-03-06,Kaylan Bigun,Jip Van Assendelft,13.24,12.0,"6-3, 6-3"
"Dual Match: Indiana University vs University of California, Los Angeles",2025-03-06,Emon Van Loben Sels,Benjamin Pomeranets,13.59,12.0,"6-3, 6-2"
"Dual Match: Indiana University vs University of California, Los Angeles",2025-03-06,Aadarsh Tripathi,Braeden Gelletich,12.91,12.0,"6-3, 6-4"
"Dual Match: Indiana University vs University of California, Los Angeles",2025-03-06,Gianluca Ballotta,Karan Raghavendra,12.0,11.0,"6-2, 6-2"
"Dual Match: Indiana University vs University of California, Los Angeles",2025-03-06,Rudy Quan,Deacon Thomas,13.59,12.0,"6-2, 6-4"
"Dual Match: Indiana University vs University of California, Los Angeles",2025-03-06,Alexander Hoogmartens,Sam Scherer,13.0,12.04,"7-6(3), 3-6, 1-0(7)"
"Indian Wells, USA",2025-03-04,Yosuke WATANUKI,Rudy Quan,14.48,13.59,"6-3, 6-2"
"Indian Wells, USA",2025-03-03,Rudy Quan,Federico Agustin Gomez,13.59,14.26,"6-4, 7-5"
"ATP Challenger San Diego, USA",2025-02-23,Sebastian Gima,Kaylan Bigun,13.37,13.24,"6-4, 6-1"
"ATP Challenger San Diego, USA",2025-02-23,Stefan Dostanic,Rudy Quan,14.03,13.59,"6-2, 6-4"
"Dual Match: University of Southern California vs University of California, Los Angeles",2025-02-21,Matteo Morazzi,Aadarsh Tripathi,12.0,12.91,"6-3, 1-6, 6-4"
"Dual Match: University of Southern California vs University of California, Los Angeles",2025-02-21,Emon Van Loben Sels,Oscar Weightman,13.59,13.07,"6-2, 6-1"
"Dual Match: University of Southern California vs University of California, Los Angeles",2025-02-21,Alexander Hoogmartens,Volodymyr Iakubenko,13.0,12.69,"6-3, 6-2"
"Dual Match: University of Southern California vs University of California, Los Angeles",2025-02-21,Nathan Trouve,Kaylan Bigun,13.24,13.24,"7-5, 6-2"
"Dual Match: University of Southern California vs University of California, Los Angeles",2025-02-21,Karl Lee,Gianluca Ballotta,13.01,12.0,"7-5, 2-6, 6-2"
"Dual Match: University of Southern California vs University of California, Los Angeles",2025-02-21,Rudy Quan,Makk Peter,13.59,13.79,"6-2, 6-3"
"Dual Match: Pepperdine University vs University of California, Los Angeles",2025-02-15,Edward Winter,Rudy Quan,13.52,13.59,"4-6, 6-0, 6-2"
"Dual Match: Pepperdine University vs University of California, Los Angeles",2025-02-15,Lasse Poertner,Aadarsh Tripathi,13.17,12.91,"7-6(3), 7-6(5)"
"Dual Match: Pepperdine University vs University of California, Los Angeles",2025-02-15,Gianluca Ballotta,David Fix,12.0,12.68,"6-7(7), 7-6(3), 5-4"
"Dual Match: Pepperdine University vs University of California, Los Angeles",2025-02-15,Linus Carlsson Halldin,Emon Van Loben Sels,12.0,13.59,"6-7(7), 6-4, 7-6(3)"
"Dual Match: Pepperdine University vs University of California, Los Angeles",2025-02-15,Alexander Hoogmartens,Aleksa Pisaric,13.0,12.66,"7-6(3), 6-4"
"Dual Match: Pepperdine University vs University of California, Los Angeles",2025-02-15,Kaylan Bigun,Maximilian Homberg,13.24,13.18,"6-2, 6-3"
"Dual Match: Stanford University vs University of California, Los Angeles",2025-02-01,Giacomo Revelli,Nicholas Godsick,12.0,13.11,"6-7(7), 7-6(3), 4-3"
"Dual Match: Stanford University vs University of California, Los Angeles",2025-02-01,Hudson Rivera,Aadarsh Tripathi,12.0,12.91,"4-6, 7-5, 6-3"
"Dual Match: Stanford University vs University of California, Los Angeles",2025-02-01,Samir Banerjee,Spencer Johnson,13.62,13.43,"6-3, 3-6, 6-4"
"Dual Match: Stanford University vs University of California, Los Angeles",2025-02-01,Gianluca Ballotta,Alexander Razeghi,12.0,13.17,"6-4, 6-7(9), 1-0"
"Dual Match: Stanford University vs University of California, Los Angeles",2025-02-01,Emon Van Loben Sels,Max Basing,13.59,13.45,"3-6, 6-4, 5-2"
"Dual Match: Stanford University vs University of California, Los Angeles",2025-02-01,Henry von der Schulenburg,Alexander Hoogmartens,13.0,13.0,"6-4, 6-4"
