Event Name,Date,Player1,Player1 UTR,Player2,Player2 UTR,Score,Searched Name
USTA Boys 18 & 16 National Clay Court Champs. Hosted by the City of Delray Beach,2021-07-13,Aadarsh Tripathi,13.01,Jackson Armistead,12.0,"6-4, 6-4",Aadarsh Tripathi
USTA Boys 18 & 16 National Clay Court Champs. Hosted by the City of Delray Beach,2021-07-12,Aadarsh Tripathi,13.01,Wyeth Anzilotti,10.0,"6-4, 6-2",Aadarsh Tripathi
Summer Solstice Open - PRIZE MONEY 10K - Qualifying Round for All-Levels,2021-06-20,Aadarsh Tripathi,13.01,Jordan Chiu,12.69,"7-5, 7-5",Aadarsh Tripathi
"San Diego, CA",2021-05-25,Aadarsh Tripathi,13.01,Gianluca Brunkow,13.63,"7-6(4), 7-5",Aadarsh Tripathi
"San Diego, CA",2021-05-24,Aadarsh Tripathi,13.01,Ryan Morgan,11.0,,Aadarsh Tripathi
"San Diego, CA",2021-05-24,Alex Michelsen,15.43,Aadarsh Tripathi,13.01,"6-3, 3-6, 1-0(7)",Aadarsh Tripathi
"San Diego, CA",2021-05-23,Aadarsh Tripathi,13.01,Andy Hernandez,0.0,"6-1, 6-3",Aadarsh Tripathi
"San Diego, CA",2021-05-22,Aadarsh Tripathi,13.01,Dylan Tsoi,12.0,"7-5, 7-5",Aadarsh Tripathi
"San Diego, CA",2021-05-22,Aadarsh Tripathi,13.01,Brodrick Bohren,0.0,"6-2, 6-4",Aadarsh Tripathi
USTA Boys' 18 Sections Invitational Championship,2021-05-04,Mitchell Lee,12.0,Aadarsh Tripathi,13.01,,Aadarsh Tripathi
USTA Boys' 18 Sections Invitational Championship,2021-05-04,Aadarsh Tripathi,13.01,William Cooksey,12.0,"7-6(3), 6-4",Aadarsh Tripathi
USTA Boys' 18 Sections Invitational Championship,2021-05-03,Aadarsh Tripathi,13.01,Alexander Aney,12.0,,Aadarsh Tripathi
USTA Boys' 18 Sections Invitational Championship,2021-05-03,Alexander Visser,13.0,Aadarsh Tripathi,13.01,"5-7, 6-3, 6-3",Aadarsh Tripathi
USTA Boys' 18 Sections Invitational Championship,2021-05-02,Aadarsh Tripathi,13.01,Muhammad Dossani,11.0,"6-1, 6-4",Aadarsh Tripathi
USTA Boys' 18 Sections Invitational Championship,2021-05-01,Aadarsh Tripathi,13.01,Alexander Stafford,12.0,"6-2, 6-1",Aadarsh Tripathi
USTA Boys' 18 Sections Invitational Championship,2021-05-01,Aadarsh Tripathi,13.01,Marcus Sebastian,10.0,"4-6, 6-3, 6-1",Aadarsh Tripathi
J4 Las Vegas,2021-03-18,Colton Smith,14.27,Aadarsh Tripathi,13.01,"6-3, 6-2",Aadarsh Tripathi
J4 Las Vegas,2021-03-18,Aadarsh Tripathi,13.01,Learner Tien,15.46,"6-7, 6-1, 6-0",Aadarsh Tripathi
Level 1 Spring Individual Championships (14s -18s),2021-03-08,Aadarsh Tripathi,13.01,Robert Bauer,11.0,"7-6(4), 7-5",Aadarsh Tripathi
Level 1 Spring Individual Championships (14s -18s),2021-03-08,Aadarsh Tripathi,13.01,Jelani Sarr,12.0,"6-3, 6-3",Aadarsh Tripathi
Level 1 Spring Individual Championships (14s -18s),2021-03-08,Aadarsh Tripathi,13.01,Vignesh Gogineni,13.76,"7-6(6), 1-6, 6-4",Aadarsh Tripathi
Level 1 Spring Individual Championships (14s -18s),2021-03-08,Aadarsh Tripathi,13.01,Max Sheldon,13.47,"6-3, 6-3",Aadarsh Tripathi
Level 1 Spring Individual Championships (14s -18s),2021-03-08,Aadarsh Tripathi,13.01,Alejandro Moreno,13.17,"6-3, 2-0",Aadarsh Tripathi
Level 1 Spring Individual Championships (14s -18s),2021-03-08,Gavin Young,13.51,Aadarsh Tripathi,13.01,"6-3, 6-2",Aadarsh Tripathi
"Irvine, CA",2021-02-07,Gianluca Brunkow,13.63,Aadarsh Tripathi,13.01,"6-2, 1-6, 1-0(6)",Aadarsh Tripathi
"Irvine, CA",2021-02-07,Aadarsh Tripathi,13.01,Andy Nguyen,13.0,"6-1, 6-2",Aadarsh Tripathi
"Irvine, CA",2021-02-06,Learner Tien,15.46,Aadarsh Tripathi,13.01,"6-3, 6-4",Aadarsh Tripathi
"Irvine, CA",2021-02-06,Aadarsh Tripathi,13.01,William Hsieh,12.0,"6-3, 6-2",Aadarsh Tripathi
One Day Compass Draw #2 - 3 FULL LENGTH MATCHES,2021-01-23,Aadarsh Tripathi,13.01,Mitchell Lee,12.0,"6-4, 6-4",Aadarsh Tripathi
One Day Compass Draw #2 - 3 FULL LENGTH MATCHES,2021-01-23,Aadarsh Tripathi,13.01,Diego Maza,0.0,"6-4, 7-5",Aadarsh Tripathi
2020 ITA Fall Circuit @ Eagle Fustar Tennis Academy,2020-10-30,Aadarsh Tripathi,13.01,Emon Van Loben Sels,13.4,"7-6(5), 6-3",Aadarsh Tripathi
2020 ITA Fall Circuit @ Eagle Fustar Tennis Academy,2020-10-30,Hugo Hashimoto,13.09,Aadarsh Tripathi,13.01,"6-3, 6-2",Aadarsh Tripathi
2020 ITA Fall Circuit @ Eagle Fustar Tennis Academy,2020-10-30,Aadarsh Tripathi,13.01,Paul Giraud ,0.0,"6-2, 3-6, 1-0(4)",Aadarsh Tripathi
N.P.T Junior Fall 18s Singles Sectional Championships,2020-10-24,Aadarsh Tripathi,13.01,Arjun Tandon,9.0,"6-1, 6-0",Aadarsh Tripathi
N.P.T Junior Fall 18s Singles Sectional Championships,2020-10-24,Alexander Chang,13.11,Aadarsh Tripathi,13.01,"6-1, 3-6, 3-2",Aadarsh Tripathi
N.P.T Junior Fall 18s Singles Sectional Championships,2020-10-24,Luke Bollinger,12.0,Aadarsh Tripathi,13.01,"5-7, 6-3, 1-0(8)",Aadarsh Tripathi
Solano Junior Boys' Super Series - Singles Only,2020-09-26,Aadarsh Tripathi,13.01,Luke Neal,0.0,"6-2, 6-3",Aadarsh Tripathi
Solano Junior Boys' Super Series - Singles Only,2020-09-26,Aadarsh Tripathi,13.01,Karl Collins,11.0,"6-4, 6-4",Aadarsh Tripathi
Solano Junior Boys' Super Series - Singles Only,2020-09-26,Aadarsh Tripathi,13.01,Luke Bollinger,12.0,"3-6, 6-2, 6-4",Aadarsh Tripathi
NorCal Junior 16's & 18's Excellence - Singles Only,2020-09-05,Aadarsh Tripathi,13.01,Luke Bollinger,12.0,"6-7(7), 6-2, 6-1",Aadarsh Tripathi
NorCal Junior 16's & 18's Excellence - Singles Only,2020-09-05,Aadarsh Tripathi,13.01,Emon Van Loben Sels,13.4,"7-6(5), 6-2",Aadarsh Tripathi
NorCal Junior 16's & 18's Excellence - Singles Only,2020-09-05,Aadarsh Tripathi,13.01,Dylan Tsoi,12.0,"6-3, 6-1",Aadarsh Tripathi
NorCal Junior 16's & 18's Excellence - Singles Only,2020-09-05,Aadarsh Tripathi,13.01,Jake Vassel,0.0,"6-2, 6-4",Aadarsh Tripathi
NorCal Junior 16's & 18's Excellence - Singles Only,2020-09-05,Aadarsh Tripathi,13.01,Bogdan Boclinca,0.0,"6-2, 6-3",Aadarsh Tripathi
NorCal Junior 16's & 18's Excellence @ Mission Hills - Singles Only,2020-08-22,Aadarsh Tripathi,13.01,Dean Babb,0.0,"4-5(7), 4-1, 1-0(2)",Aadarsh Tripathi
NorCal Junior 16's & 18's Excellence @ Mission Hills - Singles Only,2020-08-22,Luke Neal,0.0,Aadarsh Tripathi,13.01,"1-4, 5-4(4), 1-0(4)",Aadarsh Tripathi
NorCal Junior 16's & 18's Excellence @ Mission Hills - Singles Only,2020-08-22,Aadarsh Tripathi,13.01,Arav Waghray,9.0,"4-1, 5-4(3)",Aadarsh Tripathi
NorCal Junior 16's & 18's Excellence @ Mission Hills - Singles Only,2020-08-22,Aadarsh Tripathi,13.01,Abhinand Eedara,9.0,"6-4, 6-0",Aadarsh Tripathi
2020 ITA Summer Circuit- Northern California,2020-07-25,Issa Yoshida,0.0,Aadarsh Tripathi,13.01,"6-3, 6-2",Aadarsh Tripathi
2020 ITA Summer Circuit @ Blackhawk Country Club,2020-07-12,Aadarsh Tripathi,13.01,Anonymous Player,0.0,"6-2, 6-4",Aadarsh Tripathi
"USTA National Level 2 Tournament - Long Beach, CA",2020-02-09,Aadarsh Tripathi,13.01,John Kim,12.0,"7-6(5), 2-6, 1-0",Aadarsh Tripathi
"USTA National Level 2 Tournament - Long Beach, CA",2020-02-09,Aadarsh Tripathi,13.01,Conrad Brown,12.0,"7-6(6), 1-0",Aadarsh Tripathi
"USTA National Level 2 Tournament - Long Beach, CA",2020-02-09,Aadarsh Tripathi,13.01,Quang Duong,0.0,"1-6, 6-1, 1-0(5)",Aadarsh Tripathi
"USTA National Level 2 Tournament - Long Beach, CA",2020-02-09,Sebastian Gorzny,14.04,Aadarsh Tripathi,13.01,"4-0, 4-2",Aadarsh Tripathi
