Player,Year,Hometown,UTR,Singles_Record,Doubles_Record,Profile_URL,UTR_URL
Peter Kobelt,"Peter Kobelt Was Named The 12Th Head Coach Of The Husker Men’S Tennis Team At The Conclusion Of The 2023-24 Season. In The 2024-25 Season, Kobelt Led The Big Red To The Most Conference Wins In Program History (8), The First Ncaa Tournament Berth Since 2011, And Senior Calvin Mueller To Back-To-Back All-Big Ten First Team Honors. The Huskers Picked Up Two Top-30 Wins (#17 Michigan, #26 Usc), Took 10 Ranked Dual Victories And Ended The Season With A Program-Best Final Team Ita Ranking Of No. 39.As Interim Head Coach, Kobelt Led The 2023-24 Team To One Of The Best Seasons In Nebraska History. Kobelt Accomplished The Best Record By A First-Year Coach In Program History, Leading The Big Red To A 17-10 Record. The Feat Of 17 Single-Season Wins Was A Program Best Since 1990, And Kobelt Led The Huskers To The First Big Ten Tournament Semifinals In School History. The 2023-24 Squad Also Claimed The Men’S Herman Team Gpa Award, Displaying The Work Put In Off The Court.A Successful Collegiate Tennis Athlete Himself, Kobelt Led Junior Calvin Mueller To Claim The 2023 Big Ten Singles Individual Championship. Mueller Also Earned A 27-12 Singles Record, Which Notches Him At No. 5 In Program History For Most Singles Wins In A Season, And Was Named To The All-Big Ten First Team.“Peter Has Provided Outstanding Leadership For Our Men’S Tennis Program Over The Past Year, And We Are Excited To Name Him Our Permanent Head Coach,” Dannen Said. “Our Men’S Team Had One Of The Best Seasons In Nebraska History And We Are Confident The Program Will Continue An Upward Trajectory Under Peter’S Guidance.“Peter Has Shown The Ability To Develop And Improve The Young Men Already In The Program And Has An Excellent Recruiting Plan To Attract Elite Future Prospects To The University Of Nebraska.”Prior To His Role As Interim Head Coach, The Ohio State Alum Served As Assistant Coach At Nu For The 2022-23 Season. Kobelt Helped The Team Reach An Intercollegiate Tennis Association (Ita) Season-High Ranking Of 45Th And Stayed In The Top 50 Rankings For Much Of The 2022-23 Season.“I Am Extremely Honored For The Opportunity To Continue Coaching Here At The University Of Nebraska,” Kobelt Said. “Over The Last Two Years, I'Ve Seen Personally How Special This Place Is And I Am Thrilled To Be Able To Continue To Call Lincoln Home. Our Program Has More Momentum Behind It Now Than It Ever Has Before, And I Truly Believe We Can Accomplish Everything That We Set Out To Do. My Goal Is To Continue Developing A Winning Culture Within Our Program That Focuses On Sustained Success On The Court, In The Classroom And In The Community. I Truly Believe That Nebraska Does It Better Than Everyone Else, From Having The Very Best Facilities, To The Unmatched Student-Athlete Resources And Most Of All, The Best Fans In All Of College Sports.“I'D Like To Thank Troy Dannen And Keith Zimmer For Their Continued Belief In Me Throughout This Whole Process. The Leadership Here At Nebraska Is Elite And Has Truly Set All Of Us Up To Be Successful For Many Years To Come. I'D Also Like To Thank Our Guys, This Past Season They Re-Wrote Numerous Records At Nebraska On And Off The Court That Have Stood Here For Decades. The Way You All Embraced Me This Year Was Extremely Special, And I Can'T Wait To See What’S Next. There Is No Place Like Nebraska!”Before Coming To Nebraska, Kobelt Served As The Volunteer Assistant Coach At Kentucky For Two Seasons (2020-22), Helping The Wildcats Finish As The 2022 Ncaa Runner-Up And A No. 7 National Ranking. He Was Responsible For Implementing The Doubles Strategy And On-Court Fitness For The Entire Team And Coached The No. 1-Ranked Ita Player, Liam Draxl, To The Semifinals Of The 2021 Ncaa Men’S Singles Competition.Kobelt Played Collegiately And Professionally. On The Itf And Atp Men’S Professional Tours, He Peaked With A No. 332 Singles And No. 378 Doubles Ranking. Kobelt Was A Tennis Standout At Ohio State, Finishing His Career As One Of The Most Successful Men’S Tennis Players In School History. He Led Ohio State To Its First Ncaa National Indoor Team Championship In 2014 And Was Selected As The 2014 Ita National Indoor Championships Most Outstanding Player. During His Career, He Held The Ita No. 1 Singles Ranking And The No. 2 Doubles Ranking.",Big Ten ConferenceOpens in a new window,N/A,0-0,0-0,https://huskers.com/sports/mens-tennis/roster/season/2025-26/staff/peter-kobelt,https://app.utrsports.net/profiles/6491
Taym Alazmeh,N/A,,N/A,0-0,0-0,https://msuspartans.com/sports/mens-tennis/roster/taym-alazmeh/16356,https://app.utrsports.net/profiles/4381966
Ozan Baris,N/A,,N/A,0-0,0-0,https://msuspartans.com/sports/mens-tennis/roster/ozan-baris/16357,https://app.utrsports.net/profiles/119645
Matthew Forbes,N/A,,N/A,0-0,0-0,https://msuspartans.com/sports/mens-tennis/roster/matthew-forbes/16358,https://app.utrsports.net/profiles/214435
Vuk Radjenovic,N/A,,N/A,0-0,0-0,https://msuspartans.com/sports/mens-tennis/roster/vuk-radjenovic/16359,https://app.utrsports.net/profiles/3309846
Danial Rakhmatullayev,N/A,,N/A,0-0,0-0,https://msuspartans.com/sports/mens-tennis/roster/danial-rakhmatullayev/16360,https://app.utrsports.net/profiles/5600498
David Saye,N/A,,N/A,0-0,0-0,https://msuspartans.com/sports/mens-tennis/roster/david-saye/16361,https://app.utrsports.net/profiles/1520535
Mitchell Sheldon,N/A,,N/A,0-0,0-0,https://msuspartans.com/sports/mens-tennis/roster/mitchell-sheldon/16362,https://app.utrsports.net/profiles/680641
Aristotelis Thanos,N/A,,N/A,0-0,0-0,https://msuspartans.com/sports/mens-tennis/roster/aristotelis-thanos/16363,https://app.utrsports.net/profiles/2712240
Nolan W.,N/A,,N/A,0-0,0-0,https://msuspartans.com/sports/mens-tennis/roster/nolan-w/16869,https://app.utrsports.net/profiles/274901
